,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
3,44402551.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,-3.1499999999999986,289.0,-0.0025645784007371775,-0.2612699729120036,-1.0
4,44403270.0,312.5,10.525,316.685,0.22815495322369628,0.5928622750463575,-0.025000000000000355,719.0,-0.0006210869999474788,-0.002372480353630468,-1.0
6,44403732.0,312.5,10.525,316.68,0.2282384952993609,0.5927452605605232,-0.9986842105263172,124.0,-0.0023822532872492252,-0.0906510345125219,-1.0
9,44405833.0,312.5,10.525,316.68,0.2282384952993609,0.5927452605605232,-3.174999999999999,82.0,-0.003206767805281674,-0.26364245326563407,-1.0
11,44407811.0,312.5,10.5,316.67,0.22770093477024306,0.5927134754021957,-1.6000000000000014,177.0,-0.0034033228740838473,-0.14183019543921785,-1.0
13,44412315.0,307.5,13.649999999999999,316.625,0.23106193138105724,0.6814527122828373,1.5749999999999993,130.0,-0.00033562969321812575,0.12260232209233228,-1.0
15,44415948.0,307.5,13.625,316.575,0.2313390848202062,0.6804347588056814,1.5500000000000007,2601.0,-0.0001512970730705443,0.12076914101067147,-1.0
16,44416125.0,312.5,10.45,316.575,0.22787621105706196,0.5908918263099139,-3.1750000000000007,177.0,-0.0034628737631442474,-0.26530436213848785,-1.0
18,44423320.0,310.0,12.025,316.55,0.23133089517829006,0.6355140824938488,-1.5999999999999996,3338.0,-0.000528478474381755,-0.1249185245574829,-1.0
19,44426504.0,312.5,10.45,316.56,0.22812573447182186,0.5905425198741376,-1.575000000000001,3184.0,-0.003205160706468202,-0.14038583758100492,-1.0
21,44432262.0,312.5,10.45,316.58,0.2277929949468214,0.5910084313324404,-1.6000000000000014,1.0,-0.0037105912213379333,-0.1424626815258441,-1.0
23,44438977.0,307.5,13.3125,316.5850000000001,0.2215203088893228,0.6869757084196237,0.9725000000000001,125.0,-0.00937081661048661,0.07585742499240215,-1.0
25,44452530.0,312.5,10.483333333333333,316.645,0.22764867161708188,0.5922621807774142,0.033333333333333215,11105.0,-0.0006433079604551417,0.0031847160675199195,-1.0
27,44452610.0,312.5,10.5,316.67,0.22770093477024306,0.5927134754021957,-1.761111111111111,78.0,-0.00349346294006031,-0.15505729820304837,-1.0
30,44476695.0,307.5,13.625,316.615,0.23050445588159935,0.6816330079184141,-0.02499999999999858,99.0,-0.0007662730282849695,-0.0018331810816608492,-1.0
31,44476847.0,312.5,10.475000000000001,316.615,0.2279142258942353,0.5916271635137527,-3.1499999999999986,152.0,-0.002590229987364051,-0.2629148747411062,-1.0
33,44483029.0,307.5,13.625,316.61,0.23060893136756627,0.6814827518048183,-0.02499999999999858,5643.0,-0.0006617975423180433,-0.0018331810816608492,-1.0
35,44486121.0,312.5,10.45,316.585,0.22770975797390527,0.5911251213174928,-3.1833333333333336,784.0,-0.003676120630328905,-0.2659157959698264,-1.0
38,44499853.0,312.5,10.45,316.565,0.22804258079360507,0.5906588706957372,-3.200000000000001,68.0,-0.004477437766658016,-0.2671375432201488,-1.0
40,44505149.0,312.5,10.45,316.5850000000001,0.2277097579739029,0.5911251213190027,-3.1750000000000007,4937.0,-0.0034209206500359912,-0.26530436213848785,-1.0
42,44508427.0,312.5,10.475,316.61,0.2279975505350196,0.5915104221699607,-3.174999999999999,196.0,-0.003377514318367608,-0.2647480558227672,-1.0
