,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
2,52500261.0,310.5,12.127499999999998,317.35999999999996,0.22817553479197822,0.6423319274217576,-0.0510714285714311,1.0,0.0010946684993554667,-0.004202365971078499,1.0
4,52500461.0,310.0,12.50625,317.36000000000007,0.23017219263496624,0.6503864139947524,0.06874999999999964,192.0,0.0020279384230504904,0.005512416865195365,1.0
7,52501103.0,307.5,14.024999999999999,317.335,0.22754073578823347,0.6957239947299243,2.1499999999999986,2.0,0.00029004503743310095,0.1664061014880551,1.0
8,52501109.0,310.0,12.425,317.335,0.22825578293563703,0.650938948210289,-1.5999999999999979,6.0,0.000715047147403558,-0.1211308794260674,1.0
12,52501201.0,310.0,12.156249999999998,317.335,0.22030966193586224,0.6552415135436362,2.2812499999999982,27.0,0.021734253866802195,0.2078371300315341,1.0
13,52501207.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,-1.3812499999999996,6.0,0.003895080703865045,-0.1206148048289083,1.0
14,52501216.0,310.22727272727275,12.259090909090908,317.335,0.2275489859023888,0.6471733363600407,1.4840909090909093,9.0,0.003344243262661528,0.1290391407975569,1.0
16,52501269.0,307.5,14.024999999999999,317.335,0.22754073578823347,0.6957239947299243,1.6374999999999993,48.0,0.0003915563148912393,0.12415355175265352,1.0
17,52501296.0,310.0,12.424999999999999,317.335,0.22825578293563697,0.650938948210289,-1.5999999999999996,27.0,0.0007150471474035025,-0.12113087942606753,1.0
19,52501314.0,309.1666666666667,12.941666666666665,317.335,0.227906801203467,0.6661344523227974,0.5416666666666643,16.0,0.00038867885327723006,0.0427556077556497,1.0
21,52501359.0,307.5,14.05,317.335,0.22832036545425213,0.6951904914946461,1.6625000000000014,20.0,0.0011711859809099001,0.12593449612364857,1.0
23,52501997.0,307.5,14.0,317.335,0.22676049485275035,0.6962614388594801,3.25,135.0,0.0032652022188838226,0.2641515750415869,1.0
24,52502011.0,307.5,14.025,317.335,0.22754073578823353,0.6957239947298355,0.025000000000000355,14.0,0.0007802409354831785,0.001784121793501392,1.0
28,52502297.0,307.5,14.05,317.345,0.22810355766967266,0.6955060275400271,3.2750000000000004,5.0,0.00407089164430402,0.26539375978994334,1.0
31,52502464.0,309.8333333333333,12.516666666666667,317.3400000000001,0.22777513238536715,0.654299539662162,1.7416666666666671,85.0,0.003742466359998503,0.1498324535522227,1.0
34,52503320.0,310.625,11.978125,317.32,0.22681181474576023,0.6399871379588973,1.203125,801.0,0.0026930985527194307,0.10585343359697134,1.0
