,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
3,52500261.0,322.89473684210526,10.942105263157895,317.35999999999996,0.21342239746479158,-0.5986390850393875,0.11710526315789238,1.0,-0.00047744052774884027,0.010759941808973056,-1.0
5,52500264.0,322.5,10.70625,317.36000000000007,0.21365511216150995,-0.5908195999658084,-0.31374999999999886,1.0,-0.00011457423872310302,-0.028884120634475347,-1.0
8,52500437.0,322.5,10.675,317.36,0.21277711951650888,-0.5912864321008016,-0.0625,169.0,-0.0017557439569396427,-0.005837728195685527,-1.0
11,52500463.0,322.5,10.690000000000001,317.36000000000007,0.21319858630499025,-0.5910619234256842,-0.24571428571428378,1.0,-0.0007031098097239064,-0.02272524801142543,-1.0
13,52500466.0,322.5,10.675,317.36,0.21277711951650888,-0.5912864321008016,-0.3249999999999975,2.0,-0.00042726466830791954,-0.02999071368368206,-1.0
15,52501092.0,322.77777777777777,10.87777777777778,317.3349999999999,0.21323645394959623,-0.5969622370050054,0.16944444444444606,622.0,-0.0004771824391952284,0.0156997176529713,-1.0
18,52501095.0,323.25,11.1575,317.335,0.21279758151176673,-0.6063904738589088,0.2759210526315812,1.0,-0.005366280178217275,0.025040562783927797,-1.0
21,52501101.0,322.5,10.700000000000001,317.335,0.213064156991081,-0.5916309540571874,-0.00999999999999801,3.0,-0.00028106381450576645,-0.0009341429917966853,-1.0
22,52501102.0,323.2142857142857,11.135714285714286,317.335,0.21281730620503322,-0.6056866556841456,0.43571428571428505,1.0,-0.00024685078604777533,0.039913704980611774,-1.0
25,52501144.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.02500000000000213,2.0,-0.0007026125196724908,-0.002333723346220323,-1.0
26,52501154.0,322.5,10.675,317.335,0.21236138697689583,-0.5920076777314875,-0.02499999999999858,10.0,-0.0007027700141851445,-0.002339182353172155,-1.0
28,52501158.0,322.5,10.675,317.335,0.21236138697689583,-0.5920076777314875,-0.01249999999999929,3.0,-0.0003514047977006274,-0.0011702751481903206,-1.0
30,52501162.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.07500000000000107,3.0,-0.0021073716371952933,-0.006984894521951093,-1.0
32,52501171.0,322.5,10.65,317.335,0.21165845779864645,-0.5923866417544943,-0.07500000000000107,8.0,-0.002108311712107014,-0.0070175726586466465,-1.0
34,52501187.0,322.5,10.675,317.335,0.21236138697689583,-0.5920076777314875,-0.02499999999999858,13.0,-0.0007027700141851445,-0.002339182353172155,-1.0
38,52501206.0,323.3333333333333,11.191666666666668,317.335,0.21227523498038886,-0.608320828259945,0.43333333333333535,1.0,-0.002428109073713075,0.039488805676595275,-1.0
41,52501218.0,323.3333333333333,11.191666666666665,317.335,0.21227523498038878,-0.6083208282600339,0.466666666666665,1.0,-0.0014915345303646022,0.042591988927110705,-1.0
43,52501227.0,322.5,10.6875,317.335,0.21271279177459645,-0.5918190372703691,-0.037499999999999645,4.0,-0.0010539777361569247,-0.0035026305512020003,-1.0
45,52501229.0,322.5,10.675,317.335,0.21236138697689583,-0.5920076777314875,-0.02499999999999858,1.0,-0.0007027700141851445,-0.002339182353172155,-1.0
51,52501424.0,323.3333333333333,11.200000000000001,317.335,0.21251203088426002,-0.608176888621248,0.45000000000000107,153.0,-0.001957195297822706,0.04100802372737725,-1.0
54,52501497.0,322.5,10.7375,317.335,0.21411801722547716,-0.5910700198564989,-0.01249999999999929,61.0,-0.0003512089566055643,-0.0011634672632979588,-1.0
55,52501538.0,322.5,10.675,317.335,0.21236138697689583,-0.5920076777314875,-0.0625,41.0,-0.0017566302485813312,-0.005837728195685527,-1.0
57,52501610.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.21666666666666679,1.0,-0.0012687525621848383,-0.020046931945290756,-1.0
60,52501988.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.03333333333333499,124.0,-0.0009367819793046073,-0.0031104224143926134,-1.0
62,52501994.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.05000000000000071,3.0,-0.001405069191001751,-0.004662013105811413,-1.0
64,52502148.0,322.5,10.7,317.335,0.21306415699108097,-0.5916309540571874,-0.05000000000000071,76.0,-0.001405069191001751,-0.004662013105811413,-1.0
66,52502238.0,322.5,10.716666666666669,317.345,0.2136987241366767,-0.5910941867183439,0.1643410852713192,2.0,-0.0003805464230864364,0.015453892130020769,-1.0
67,52502255.0,322.5,10.675,317.345,0.2125277662320631,-0.59171883815754,-0.04166666666666785,17.0,-0.0011709579046136065,-0.003895602900830574,-1.0
70,52502292.0,322.5,10.675,317.345,0.2125277662320631,-0.59171883815754,-0.033333333333333215,5.0,-0.000936801086894451,-0.0031176954325859165,-1.0
73,52502415.0,322.5,10.683333333333335,317.345,0.21276199269831436,-0.5915934156067948,-0.016666666666663943,83.0,-0.0004684004822413379,-0.0015588467692908565,-1.0
77,52502502.0,323.5,11.29,317.3400000000001,0.21215709197580074,-0.6115225294571758,0.5399999999999991,10.0,-0.002395124984373359,0.04901162358789883,-1.0
81,52502569.0,322.5,10.7,317.3400000000001,0.21314728940635871,-0.5914870757749213,-0.033333333333333215,28.0,-0.0009366873218371041,-0.003110422414392391,-1.0
82,52502665.0,322.5,10.6875,317.335,0.21271279177459645,-0.5918190372703691,-0.01249999999999929,96.0,-0.00043449763176225953,-0.0011689072049818425,-1.0
